NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 강서구 등촌동,집합,6**,양천로,준공업,판매,25m이상,43.59, ,"39,300",1,-,-,201912,31,,2004,-,-,-
2,서울특별시 마포구 염리동,일반,1**,백범로,준주거,기타,25m이상,658.32,165.3,"340,000",,-,-,201912,31,,1969,-,-,-
3,서울특별시 종로구 익선동,일반,1**,돈화문로11나길,일반상업,제2종근린생활,8m미만,43.04,58.5,"106,000",,-,-,201912,31,,1961,-,-,-
4,서울특별시 서초구 서초동,집합,1***,사임당로,일반상업,제2종근린생활,25m미만,60.22, ,"47,000",,-,-,201912,31,,2008,-,-,-
5,서울특별시 동대문구 용두동,집합,2*,고산자로,일반상업,제1종근린생활,25m이상,36, ,"55,000",,-,-,201912,31,,1994,-,-,-
6,서울특별시 서초구 방배동,일반,7**,동광로,제3종일반주거,제2종근린생활,25m이상,951.7,113.07,"100,000",,-,-,201912,31,지분,1983,-,-,-
7,서울특별시 중구 을지로6가,집합,1*,장충단로,일반상업,판매,25m이상,3.77, ,650,,-,-,201912,31,,2002,-,-,-
8,서울특별시 강서구 화곡동,집합,2*,화곡로,일반상업,제1종근린생활,8m미만,22.62, ,"7,500",2,-,-,201912,31,,1989,-,-,-
9,서울특별시 동대문구 제기동,일반,8**,약령시로,제3종일반주거,제1종근린생활,25m미만,110.78,101.9,"101,800",,-,-,201912,31,,1960,-,-,-
10,서울특별시 중구 을지로6가,집합,1*,장충단로,일반상업,판매,25m이상,3.77, ,650,,-,-,201912,31,,2002,-,-,-
11,서울특별시 중구 을지로6가,집합,1*,장충단로,일반상업,판매,25m이상,3.65, ,"1,200",54,-,-,201912,31,,2008,-,-,-
12,서울특별시 영등포구 당산동2가,집합,3*,영등포로,준공업,제2종근린생활,25m이상,20.33, ,"8,300",,-,-,201912,31,,1987,-,-,-
13,서울특별시 동대문구 용두동,집합,2*,고산자로,일반상업,제1종근린생활,25m이상,41.6, ,"65,000",,-,-,201912,31,,1994,-,-,-
14,서울특별시 구로구 구로동,집합,6**,구일로8길,준공업,제1종근린생활,25m미만,21.59, ,"23,800",1,-,-,201912,31,,1987,-,-,-
15,서울특별시 송파구 송파동,일반,1**,오금로,제3종일반주거,제1종근린생활,25m이상,1355.96,391.9,"950,000",,-,-,201912,31,,2018,-,-,-
16,서울특별시 은평구 불광동,집합,2**,통일로,일반상업,제2종근린생활,8m미만,36.8, ,"3,335",,-,-,201912,31,지분,2018,-,-,-
17,서울특별시 양천구 목동,집합,9**,목동서로,제2종일반주거,제1종근린생활,25m이상,16.25, ,"11,400",1,-,-,201912,31,,1985,-,-,-
18,서울특별시 노원구 월계동,집합,7**,월계로45가길,제3종일반주거,기타,12m미만,153.9, ,"14,750",,-,-,201912,31,,1998,-,-,-
19,서울특별시 중구 을지로6가,집합,1*,장충단로,일반상업,판매,25m이상,3.77, ,"3,883",,-,-,201912,31,,2002,-,-,-
20,서울특별시 영등포구 영등포동4가,일반,1**,영등포로34길,준주거,기타,12m미만,5287.9,1008.7,"1,452,100",,-,-,201912,31,,2008,-,-,-
21,서울특별시 성동구 마장동,일반,5**,마장로31길,제3종일반주거,제2종근린생활,12m미만,1352.66,539.5,"840,000",,-,-,201912,31,,1988,-,-,-
22,서울특별시 마포구 서교동,일반,3**,월드컵로8길,제2종일반주거,제2종근린생활,8m미만,445.38,183.1,"220,000",,-,-,201912,31,,1993,-,-,-
23,서울특별시 서초구 서초동,집합,1***,사임당로,일반상업,제2종근린생활,25m미만,60.46, ,"47,000",,-,-,201912,31,,2008,-,-,-
