NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,-,22.68, ,"9,718",,-,-,201412,31,,2008,-,-,-
2,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,25m이상,22.68, ,"9,777",,-,-,201412,31,,2008,-,-,-
3,서울특별시 금천구 시흥동,집합,1***,시흥대로,준공업,제1종근린생활,-,43.65, ,"17,275",1,-,-,201412,31,,2014,-,-,-
4,서울특별시 마포구 상암동,집합,1***,월드컵북로47길,제3종일반주거,기타,25m미만,118.35, ,"97,280",17,-,-,201412,31,,2010,-,-,-
5,서울특별시 광진구 광장동,집합,3**,천호대로,제3종일반주거,제2종근린생활,25m이상,63, ,"23,500",,-,-,201412,31,,2001,-,-,-
6,서울특별시 광진구 구의동,집합,5**,광나루로56길,준주거,판매,25m이상,10.26, ,983,2,-,-,201412,31,,1998,-,-,-
7,서울특별시 용산구 이촌동,일반,2**,이촌로2가길,제2종일반주거,제2종근린생활,12m미만,71.06,21.24,"22,910",2,-,-,201412,31,지분,,-,-,-
8,서울특별시 금천구 가산동,집합,5**,서부샛길,준공업,업무,25m미만,112.03, ,"41,400",,-,-,201412,31,,2012,-,-,-
9,서울특별시 노원구 공릉동,집합,4**,공릉로,제2종일반주거,제2종근린생활,25m미만,20.24, ,"3,600",12,-,-,201412,31,,2006,-,-,-
10,서울특별시 광진구 구의동,집합,5**,광나루로56길,준주거,판매,25m이상,10.16, ,973,2,-,-,201412,31,,1998,-,-,-
11,서울특별시 마포구 서교동,일반,3**,양화로,준주거,숙박,25m이상,3868.38,230.72,"637,000",,-,-,201412,31,지분,2013,-,-,-
12,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,-,34.02, ,"14,716",,-,-,201412,31,,2008,-,-,-
13,서울특별시 노원구 월계동,집합,4**,광운로2나길,제2종일반주거,제1종근린생활,12m미만,13.84, ,"1,000",-1,-,-,201412,31,,1985,-,-,-
14,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,-,34.02, ,"15,443",,-,-,201412,31,,2008,-,-,-
15,서울특별시 금천구 시흥동,집합,1***,시흥대로,준공업,제1종근린생활,-,89.53, ,"16,583",2,-,-,201412,31,,2014,-,-,-
16,서울특별시 송파구 잠실동,집합,2*,올림픽로,제3종일반주거,제2종근린생활,25m이상,15.28, ,"75,000",1,-,-,201412,31,,2008,-,-,-
17,서울특별시 용산구 이촌동,일반,2**,이촌로2가길,제2종일반주거,제2종근린생활,12m미만,53.95,16.13,"17,360",2,-,-,201412,31,지분,,-,-,-
18,서울특별시 서대문구 창천동,일반,2*,연세로2가길,일반상업,제1종근린생활,12m미만,998.52,70.33,"162,500",,-,-,201412,31,지분,1991,-,-,-
19,서울특별시 마포구 창전동,일반,3**,독막로,제3종일반주거,제1종근린생활,25m미만,977.8,271,"460,000",,-,-,201412,31,,2009,-,-,-
20,서울특별시 용산구 문배동,집합,4*,청파로,일반상업,제2종근린생활,12m미만,20.91, ,"14,000",1,-,-,201412,31,,2006,-,-,-
21,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,-,22.68, ,"9,718",,-,-,201412,31,,2008,-,-,-
22,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,-,22.68, ,"11,536",,-,-,201412,31,,2008,-,-,-
23,서울특별시 양천구 신정동,집합,1***,신정이펜2로,준주거,제2종근린생활,25m미만,102, ,"24,000",6,-,-,201412,31,,2013,-,-,-
24,서울특별시 종로구 종로4가,집합,1**,종로32길,일반상업,제2종근린생활,12m미만,985.64, ,"40,000",,-,-,201412,31,지분,1967,-,-,-
25,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,-,22.68, ,"38,691",,-,-,201412,31,,2008,-,-,-
26,서울특별시 양천구 신정동,집합,1***,신정이펜2로,준주거,제2종근린생활,25m미만,69.16, ,"16,000",6,-,-,201412,31,,2013,-,-,-
27,서울특별시 영등포구 영등포동4가,일반,6*,영등포로,일반상업,제1종근린생활,25m이상,426.93,41,"60,762",,-,-,201412,31,지분,1961,-,-,-
