NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 은평구 진관동,집합,1**,통일로,제2종일반주거,제2종근린생활,-,96.82, ,"220,652",1,-,-,201512,31,,2015,-,-,-
2,서울특별시 마포구 성산동,집합,5**,월드컵로34길,유통상업,제2종근린생활,12m미만,51.48, ,"52,000",,-,-,201512,31,,2014,-,-,-
3,서울특별시 금천구 독산동,집합,2**,두산로,준공업,제1종근린생활,25m미만,38.35, ,"32,000",,-,-,201512,31,,2014,-,-,-
4,서울특별시 금천구 시흥동,집합,1***,시흥대로,준공업,제2종근린생활,25m미만,15.51, ,"1,334",,-,-,201512,31,,2014,-,-,-
5,서울특별시 금천구 시흥동,집합,1**,시흥대로73길,제3종일반주거,제2종근린생활,25m미만,124.13, ,"35,600",5,-,-,201512,31,,1980,-,-,-
6,서울특별시 동대문구 회기동,일반,6*,이문로,일반상업,제2종근린생활,25m이상,1226.47,370,"612,000",,-,-,201512,31,,2003,-,-,-
7,서울특별시 동대문구 장안동,일반,4**,장한로,일반상업,제2종근린생활,25m이상,1195.68,153.9,"129,299",,-,-,201512,31,지분,1984,-,-,-
8,서울특별시 서초구 반포동,집합,8**,신반포로,제3종일반주거,판매,12m미만,16.3, ,"28,500",,-,-,201512,31,,1974,-,-,-
9,서울특별시 구로구 고척동,집합,7*,중앙로1길,준공업,판매,12m미만,8.45, ,"1,425",,-,-,201512,31,,1998,-,-,-
10,서울특별시 금천구 시흥동,집합,1**,시흥대로73길,제3종일반주거,제2종근린생활,25m미만,124.13, ,"35,600",5,-,-,201512,31,,1980,-,-,-
11,서울특별시 중구 명동2가,일반,5*,명동6길,중심상업,제1종근린생활,8m미만,168.6,46.13,"291,900",,-,-,201512,31,지분,1957,-,-,-
12,서울특별시 관악구 봉천동,집합,4**,양녕로,제3종일반주거,제1종근린생활,25m미만,237.44, ,"54,000",2,-,-,201512,31,지분,,-,-,-
13,서울특별시 구로구 고척동,집합,7*,경인로,준공업,판매,12m미만,7.35, ,622,,-,-,201512,31,,1998,-,-,-
14,서울특별시 서초구 서초동,일반,1***,서초중앙로,일반상업,제2종근린생활,12m미만,896.26,300.4,"635,000",,-,-,201512,31,,1989,-,-,-
15,서울특별시 관악구 봉천동,집합,4**,양녕로,제3종일반주거,제2종근린생활,25m미만,114.24, ,"23,000",4,-,-,201512,31,지분,,-,-,-
16,서울특별시 금천구 독산동,집합,2**,두산로,준공업,제1종근린생활,25m미만,38.35, ,"32,000",,-,-,201512,31,,2014,-,-,-
17,서울특별시 양천구 신월동,일반,1**,남부순환로58길,제3종일반주거,제1종근린생활,12m미만,249.86,121.9,"45,000",,-,-,201512,31,,1988,-,-,-
18,서울특별시 동작구 대방동,집합,5**,등용로,제3종일반주거,제1종근린생활,25m이상,22, ,"26,400",,-,-,201512,31,,1994,-,-,-
19,서울특별시 도봉구 창동,일반,4*,노해로66길,제3종일반주거,판매,25m이상,9.52,6.51,"8,800",,-,-,201512,31,,1992,-,-,-
20,서울특별시 영등포구 당산동1가,일반,1**,영신로41길,준공업,제1종근린생활,8m미만,70.74,155.4,"70,500",,-,-,201512,31,,,-,-,-
21,서울특별시 금천구 시흥동,집합,1**,시흥대로73길,제3종일반주거,제2종근린생활,25m미만,59.53, ,"16,900",5,-,-,201512,31,,1980,-,-,-
22,서울특별시 용산구 서계동,집합,3*,청파로85길,제2종일반주거,제2종근린생활,8m미만,29.36, ,"29,500",,-,-,201512,31,,2007,-,-,-
