NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 마포구 대흥동,집합,1*,신촌로,일반상업,업무,25m이상,31.68, ,"14,000",13,-,-,202212,31,,2000,-,중개거래,서울 마포구
2,서울특별시 은평구 갈현동,집합,4**,연서로25길,제2종일반주거,제2종근린생활,8m미만,62.19, ,"19,900",2,-,-,202212,31,,2012,20230224,중개거래,서울 은평구
3,서울특별시 은평구 역촌동,일반,2*,진흥로9길,제2종일반주거,제2종근린생활,8m미만,180.69,170.2,"130,000",,-,-,202212,31,,1971,-,중개거래,서울 은평구
4,서울특별시 은평구 갈현동,집합,4**,연서로25길,제2종일반주거,제2종근린생활,8m미만,62.3, ,"20,400",2,-,-,202212,31,,2012,20230224,중개거래,서울 은평구
5,서울특별시 강서구 화곡동,집합,1***,공항대로,제3종일반주거,제1종근린생활,25m이상,52.88, ,"20,800",2,-,-,202212,31,,2003,-,중개거래,서울 강서구
6,서울특별시 강서구 마곡동,집합,7**,마곡서로,일반상업,제2종근린생활,25m미만,41.5, ,"24,500",3,-,-,202212,31,,2017,-,중개거래,서울 강서구
7,서울특별시 강서구 마곡동,집합,7**,마곡서로,일반상업,제2종근린생활,25m미만,41.5, ,"24,500",3,-,-,202212,31,,2017,-,중개거래,서울 강서구
8,서울특별시 중구 을지로6가,집합,1*,장충단로,일반상업,판매,25m이상,3.77, ,500,,-,-,202212,31,,2002,-,직거래,-
9,서울특별시 중구 남대문로5가,일반,5**,퇴계로,일반상업,업무,25m이상,41139.63,4106.1,"41,556,646",,-,-,202212,30,,1970,-,직거래,-
10,서울특별시 종로구 관수동,집합,2*,수표로,일반상업,제1종근린생활,25m미만,5.5, ,"1,100",1,-,-,202212,30,,2000,-,직거래,-
11,서울특별시 중랑구 면목동,일반,1**,동일로,제3종일반주거,제2종근린생활,25m이상,836.39,154.05,"100,000",,-,-,202212,30,지분,1986,-,직거래,-
12,서울특별시 용산구 남영동,집합,9*,한강대로76길,제2종일반주거,제2종근린생활,8m미만,36.48, ,"24,500",3,-,-,202212,30,지분,2008,-,직거래,-
13,서울특별시 강북구 번동,집합,1**,오현로,제2종일반주거,제2종근린생활,12m미만,116.57, ,"35,000",2,-,-,202212,30,,2018,-,중개거래,서울 강북구
14,서울특별시 종로구 가회동,일반,7*,북촌로,제1종일반주거,제2종근린생활,25m미만,424.83,677.7,"1,435,781",,-,-,202212,30,,1960,-,중개거래,서울 종로구
15,서울특별시 마포구 망원동,집합,4**,방울내로,제2종일반주거,제2종근린생활,25m미만,379.95, ,"145,000",,-,-,202212,30,,2014,-,중개거래,경기 김포시 서울 마포구
16,서울특별시 구로구 고척동,집합,1**,경인로43길,준공업,제1종근린생활,25m미만,18, ,"30,000",,-,-,202212,30,,1986,-,중개거래,서울 구로구
17,서울특별시 노원구 상계동,집합,6**,한글비석로,제3종일반주거,제1종근린생활,25m미만,33.72, ,"72,000",1,-,-,202212,30,,1988,-,중개거래,서울 노원구
18,서울특별시 은평구 역촌동,집합,5*,갈현로,제2종일반주거,제2종근린생활,25m미만,36.74, ,"22,577",1,-,-,202212,30,,2000,-,중개거래,서울 은평구
19,서울특별시 동작구 신대방동,집합,7**,보라매로5길,일반상업,제2종근린생활,25m미만,7.38, ,"6,000",,-,-,202212,30,,1995,-,중개거래,서울 강남구
20,서울특별시 동대문구 용두동,집합,7**,왕산로,일반상업,제1종근린생활,25m이상,6.87, ,"3,000",6,-,-,202212,30,,2005,-,직거래,-
21,서울특별시 강북구 번동,집합,1**,오현로,제2종일반주거,제2종근린생활,12m미만,135.66, ,"38,500",2,-,-,202212,30,,2018,-,중개거래,서울 강북구
22,서울특별시 은평구 역촌동,집합,5*,갈현로,제2종일반주거,제2종근린생활,25m미만,31.17, ,"19,637",1,-,-,202212,30,,2000,-,중개거래,서울 은평구
23,서울특별시 은평구 역촌동,집합,5*,갈현로,제2종일반주거,제2종근린생활,25m미만,39.5, ,"24,286",1,-,-,202212,30,,2000,-,중개거래,서울 은평구
