NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 동대문구 제기동,집합,1***,왕산로,일반상업,판매,25m이상,4.5, ,500,,-,-,201612,31,,2007,-,-,-
2,서울특별시 성동구 홍익동,일반,1**,,준주거,제2종근린생활,25m이상,414.1,181.48,"33,775",,-,-,201612,31,지분,,-,-,-
3,서울특별시 동대문구 제기동,집합,1***,왕산로,일반상업,판매,25m이상,4.5, ,500,,-,-,201612,31,,2007,-,-,-
4,서울특별시 동대문구 휘경동,집합,3**,망우로,제2종일반주거,제2종근린생활,25m이상,34.44, ,"15,943",1,-,-,201612,31,,2016,-,-,-
5,서울특별시 구로구 구로동,일반,1***,디지털로32가길,준공업,교육연구,8m미만,1419.73,355.1,"430,000",,-,-,201612,31,,,-,-,-
6,서울특별시 노원구 상계동,일반,1**,한글비석로24라길,제2종일반주거,제1종근린생활,12m미만,340.18,132,"70,000",,-,-,201612,31,,1991,-,-,-
7,서울특별시 성동구 홍익동,일반,1**,,준주거,제2종근린생활,25m이상,329,12.95,"12,209",,-,-,201612,31,지분,,-,-,-
8,서울특별시 영등포구 양평동5가,집합,8*,양평로22다길,준공업,제2종근린생활,8m미만,48.17, ,"14,000",,-,-,201612,31,,2015,-,-,-
9,서울특별시 영등포구 신길동,일반,1**,도신로51길,제2종일반주거,제2종근린생활,8m미만,474.77,215,"130,000",,-,-,201612,31,,1992,-,-,-
10,서울특별시 동대문구 제기동,집합,1***,왕산로,일반상업,판매,25m이상,4.5, ,500,,-,-,201612,31,,2007,-,-,-
11,서울특별시 중랑구 망우동,집합,4**,용마산로115길,일반상업,제2종근린생활,25m미만,44.68, ,"18,500",,-,-,201612,31,,2008,-,-,-
12,서울특별시 동대문구 제기동,집합,1***,왕산로,일반상업,판매,25m이상,4.5, ,500,,-,-,201612,31,,2007,-,-,-
13,서울특별시 동작구 신대방동,집합,5**,여의대방로,제3종일반주거,제2종근린생활,25m이상,8.68, ,"3,350",,-,-,201612,31,,1988,-,-,-
14,서울특별시 강북구 수유동,일반,2**,한천로155길,제3종일반주거,제1종근린생활,12m미만,38.25,74,"23,300",,-,-,201612,31,,2003,-,-,-
15,서울특별시 서대문구 창천동,일반,7*,연세로11길,제3종일반주거,제2종근린생활,12m미만,212.84,86.1,"130,000",,-,-,201612,31,,2010,-,-,-
16,서울특별시 성북구 길음동,일반,3*,숭인로16길,일반상업,제2종근린생활,8m미만,42.98,14,"11,000",,-,-,201612,31,지분,,-,-,-
17,서울특별시 강남구 삼성동,집합,1*,삼성로,제3종일반주거,제2종근린생활,25m이상,20.87, ,"60,000",,-,-,201612,31,,1981,-,-,-
18,서울특별시 강남구 대치동,집합,8**,선릉로,제3종일반주거,제1종근린생활,25m이상,27.75, ,"83,000",1,-,-,201612,31,,2008,-,-,-
19,서울특별시 송파구 신천동,집합,1*,올림픽로35가길,일반상업,판매,25m미만,41.81, ,"50,000",1,-,-,201612,31,지분,,-,-,-
20,서울특별시 서초구 방배동,집합,4**,방배천로4안길,제2종일반주거,제2종근린생활,8m미만,27.06, ,"23,400",1,-,-,201612,30,,2016,-,-,-
21,서울특별시 강동구 강일동,일반,7**,아리수로94길,제2종일반주거,기타,12m미만,1729.04,660,"415,000",,-,-,201612,30,,2010,-,-,-
22,서울특별시 송파구 문정동,집합,6**,충민로,유통상업,판매,25m이상,23.4, ,"6,246",,-,-,201612,30,,2008,-,-,-
23,서울특별시 영등포구 영등포동8가,집합,8*,영중로,일반상업,제2종근린생활,25m이상,134.97, ,"60,000",6,-,-,201612,30,,2005,-,-,-
24,서울특별시 영등포구 영등포동8가,집합,8*,영중로,일반상업,제2종근린생활,25m이상,134.97, ,"60,000",5,-,-,201612,30,,2005,-,-,-
25,서울특별시 도봉구 창동,집합,7**,해등로,준주거,제2종근린생활,25m미만,23.27, ,"12,000",3,-,-,201612,30,,2014,-,-,-
26,서울특별시 노원구 상계동,집합,7**,동일로,일반상업,제2종근린생활,25m이상,694.05, ,"2,750",,-,-,201612,30,지분,,-,-,-
27,서울특별시 동작구 상도동,집합,5**,상도로30길,준주거,제2종근린생활,12m미만,33.8, ,"43,500",,-,-,201612,30,,2016,-,-,-
28,서울특별시 구로구 신도림동,집합,4**,구로중앙로,준공업,업무,25m이상,24.76, ,"19,300",,-,-,201612,30,,1981,-,-,-
29,서울특별시 도봉구 창동,집합,7**,해등로,준주거,제1종근린생활,25m미만,17.42, ,"10,000",2,-,-,201612,30,,2014,-,-,-
30,서울특별시 영등포구 문래동3가,일반,*,경인로93길,일반상업,제1종근린생활,8m미만,19.83,49.2,"28,000",,-,-,201612,30,,1955,-,-,-
31,서울특별시 동작구 노량진동,집합,3**,만양로,제3종일반주거,제2종근린생활,25m미만,17.48, ,"10,000",1,-,-,201612,30,지분,2001,-,-,-
32,서울특별시 동대문구 제기동,집합,1***,왕산로,일반상업,판매,25m이상,4.5, ,500,,-,-,201612,30,,2007,-,-,-
33,서울특별시 강서구 가양동,집합,1***,양천로,준공업,제2종근린생활,25m이상,106.64, ,"69,700",,-,-,201612,30,,2013,-,-,-
34,서울특별시 동대문구 답십리동,집합,4*,답십리로,제3종일반주거,판매,25m이상,26.84, ,"5,800",,-,-,201612,30,,1989,-,-,-
35,서울특별시 종로구 이화동,일반,*,율곡로19길,제1종일반주거,제1종근린생활,8m미만,625.54,251.2,"155,000",,-,-,201612,30,,2001,-,-,-
36,서울특별시 노원구 상계동,집합,7**,동일로,일반상업,제2종근린생활,25m이상,694.05, ,"4,000",,-,-,201612,30,지분,1988,-,-,-
