NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 중랑구 신내동,일반,6**,봉화산로,제2종일반주거,제2종근린생활,25m미만,4852.05,275.7,"253,300",,-,-,202112,31,지분,1997,-,직거래,-
2,서울특별시 금천구 시흥동,집합,9**,,제2종일반주거,제1종근린생활,25m이상,93.21, ,"73,500",,-,-,202112,31,,1988,-,중개거래,서울 금천구
3,서울특별시 강서구 마곡동,집합,7**,마곡중앙6로,일반상업,업무,-,59.77, ,"41,800",9,-,-,202112,31,,2018,-,중개거래,서울 강서구
4,서울특별시 구로구 고척동,집합,1**,경인로43길,준공업,제1종근린생활,25m미만,18, ,"45,000",,-,-,202112,31,,1986,-,중개거래,서울 구로구 서울 도봉구
5,서울특별시 성동구 성수동1가,일반,6**,서울숲2길,제2종일반주거,제2종근린생활,8m미만,190.1,111,"364,000",,-,-,202112,31,,1991,-,중개거래,서울 강남구
6,서울특별시 강서구 등촌동,집합,6**,공항대로41길,준주거,제2종근린생활,25m미만,66.42, ,"7,000",8,-,-,202112,31,,1995,-,직거래,-
7,서울특별시 구로구 구로동,집합,7**,구로동로22길,제2종일반주거,제1종근린생활,8m미만,20.69, ,"18,500",,-,-,202112,31,,,-,중개거래,서울 구로구
8,서울특별시 강서구 화곡동,일반,9*,우현로,제2종일반주거,제2종근린생활,12m미만,473.52,196,"170,000",,-,-,202112,31,,1993,-,중개거래,서울 양천구
9,서울특별시 용산구 한강로2가,집합,1*,청파로,제3종일반주거,판매,12m미만,25.07, ,"44,500",1,-,-,202112,31,,1993,20220406,중개거래,서울 용산구
10,서울특별시 마포구 서교동,일반,4**,잔다리로,제2종일반주거,제2종근린생활,25m미만,347.48,194,"400,000",,-,-,202112,31,,1984,-,중개거래,서울 서초구
11,서울특별시 강서구 내발산동,집합,7**,수명로,준주거,제1종근린생활,25m이상,32.4, ,"35,000",1,-,-,202112,31,,2009,-,중개거래,인천 서구
