NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 중구 신당동,집합,3**,다산로8길,제3종일반주거,제2종근린생활,25m미만,77.7, ,"47,500",,-,-,202012,31,,1986,-,-,-
2,서울특별시 동대문구 청량리동,집합,7**,왕산로37길,일반상업,판매,12m미만,6.74, ,"3,800",,-,-,202012,31,,1997,-,-,-
3,서울특별시 노원구 상계동,집합,3**,상계로9가길,제3종일반주거,제2종근린생활,8m미만,61.65, ,"21,000",2,-,-,202012,31,,2016,20210111,-,-
4,서울특별시 노원구 상계동,집합,1**,한글비석로,제3종일반주거,제1종근린생활,25m미만,14.63, ,"11,000",,-,-,202012,31,,1989,-,-,-
5,서울특별시 중구 오장동,일반,9*,마른내로,일반상업,제2종근린생활,25m미만,849.2,43.23,"96,320",,-,-,202012,31,지분,,-,-,-
6,서울특별시 노원구 중계동,집합,3**,한글비석로,준주거,업무,25m이상,27.85, ,"14,400",,-,-,202012,31,,2000,-,-,-
7,서울특별시 강서구 마곡동,집합,7**,방화대로,일반상업,제1종근린생활,-,84.98, ,"39,500",8,-,-,202012,31,,2016,-,-,-
8,서울특별시 영등포구 영등포동3가,집합,*,영중로,일반상업,판매,25m이상,4.96, ,"5,500",30,-,-,202012,31,,2005,-,-,-
9,서울특별시 강북구 미아동,집합,7**,삼양로64길,제3종일반주거,제2종근린생활,8m미만,66.08, ,"24,000",6,-,-,202012,31,,2015,-,-,-
10,서울특별시 용산구 한강로2가,집합,1*,,일반상업,판매,12m미만,50.4, ,"40,000",70,-,-,202012,31,,1974,20210222,-,-
11,서울특별시 금천구 독산동,집합,9**,독산로,준주거,업무,25m미만,57.86, ,"27,000",3,-,-,202012,31,,2019,-,-,-
12,서울특별시 영등포구 여의도동,집합,4*,국제금융로8길,일반상업,제2종근린생활,25m미만,32.41, ,"22,000",,-,-,202012,31,,1981,-,-,-
13,서울특별시 종로구 숭인동,일반,1***,종로66길,일반상업,제2종근린생활,8m미만,1411.34,341.36,"945,252",,-,-,202012,31,지분,1983,20221212,-,-
14,서울특별시 강서구 마곡동,집합,7**,마곡중앙6로,일반상업,제2종근린생활,-,47.95, ,"88,000",1,-,-,202012,31,,2015,-,-,-
15,서울특별시 노원구 공릉동,일반,5**,동일로,제3종일반주거,제2종근린생활,25m이상,2505.87,495.8,"840,000",,-,-,202012,31,,1997,-,-,-
16,서울특별시 영등포구 여의도동,집합,4*,국제금융로8길,일반상업,제2종근린생활,25m미만,37.69, ,"22,070",,-,-,202012,31,,1981,-,-,-
17,서울특별시 광진구 자양동,일반,6**,자양로15길,제2종일반주거,제1종근린생활,12m미만,478.06,195,"180,000",,-,-,202012,31,,1992,-,-,-
18,서울특별시 서초구 서초동,집합,1***,서초대로78길,일반상업,교육연구,25m미만,288, ,"199,000",5,-,-,202012,31,,2005,-,-,-
19,서울특별시 중구 황학동,집합,2***,청계천로,일반상업,제2종근린생활,25m이상,12.43, ,"13,000",,-,-,202012,31,,2008,-,-,-
20,서울특별시 성북구 하월곡동,집합,2**,종암로,일반상업,판매,25m이상,25.94, ,"31,500",1,-,-,202012,31,,2011,-,-,-
21,서울특별시 금천구 시흥동,일반,9**,금하로24길,제2종일반주거,제2종근린생활,12m미만,712.15,403.6,"365,000",,-,-,202012,31,,1981,-,-,-
22,서울특별시 양천구 신정동,집합,8**,신정중앙로,제2종일반주거,제2종근린생활,25m미만,35.76, ,"21,000",2,-,-,202012,31,,2019,-,-,-
