NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 서초구 방배동,집합,9**,방배로13길,제2종일반주거,판매,12m미만,18.77, ,"9,000",,-,-,201712,31,,2007,-,-,-
2,서울특별시 강북구 수유동,일반,5**,4.19로,제1종일반주거,제2종근린생활,25m미만,192.9,182,"104,000",,-,-,201712,31,,1984,-,-,-
3,서울특별시 서대문구 홍제동,집합,3**,통일로39길,제2종일반주거,제1종근린생활,25m미만,29.64, ,"8,900",,-,-,201712,31,,1992,-,-,-
4,서울특별시 영등포구 여의도동,집합,6*,63로,일반상업,교육연구,25m이상,203.38, ,"96,000",4,-,-,201712,31,,2000,-,-,-
5,서울특별시 강서구 화곡동,집합,1***,화곡로13길,제2종일반주거,제1종근린생활,12m미만,71.11, ,"20,000",2,-,-,201712,30,,1977,-,-,-
6,서울특별시 강서구 화곡동,집합,9**,곰달래로20길,일반상업,업무,8m미만,75.52, ,"19,000",2,-,-,201712,30,,1999,-,-,-
7,서울특별시 용산구 한강로2가,집합,1*,,일반상업,판매,12m미만,11.43, ,"18,800",20,-,-,201712,30,,1974,-,-,-
8,서울특별시 노원구 월계동,집합,4*,화랑로,제3종일반주거,제1종근린생활,25m이상,16.78, ,"78,000",1,-,-,201712,30,,1987,-,-,-
9,서울특별시 영등포구 영등포동2가,일반,2*,국회대로56길,준주거,제1종근린생활,12m미만,621.24,252,"228,690",,-,-,201712,30,,1988,-,-,-
10,서울특별시 용산구 동빙고동,집합,2**,녹사평대로14길,제1종일반주거,제1종근린생활,8m미만,61.15, ,"75,000",,-,-,201712,30,,1993,-,-,-
11,서울특별시 동작구 상도동,집합,5*,상도로53길,제2종일반주거,제2종근린생활,8m미만,28.16, ,"8,500",1,-,-,201712,30,,2008,-,-,-
12,서울특별시 광진구 구의동,집합,5**,광나루로56길,준주거,판매,25m이상,17.15, ,"35,200",,-,-,201712,30,,1998,-,-,-
13,서울특별시 은평구 증산동,집합,1**,증산로,제3종일반주거,제1종근린생활,25m이상,30.45, ,"13,500",3,-,-,201712,30,,1996,-,-,-
14,서울특별시 영등포구 당산동5가,집합,1*,당산로44길,준공업,교육연구,25m미만,101.33, ,"61,000",7,-,-,201712,30,,2005,-,-,-
15,서울특별시 강서구 화곡동,집합,9**,강서로5나길,일반상업,제1종근린생활,25m미만,37.93, ,"11,000",2,-,-,201712,30,,2001,-,-,-
16,서울특별시 마포구 아현동,집합,4**,마포대로,준주거,업무,25m이상,19.6, ,"10,500",,-,-,201712,30,,1987,-,-,-
17,서울특별시 노원구 월계동,집합,4*,화랑로,제3종일반주거,제1종근린생활,25m이상,18.39, ,"90,000",1,-,-,201712,30,,1987,-,-,-
18,서울특별시 강서구 마곡동,집합,7**,공항대로,일반상업,업무,-,106.86, ,"62,500",7,-,-,201712,30,,2017,-,-,-
19,서울특별시 노원구 월계동,집합,4*,화랑로,제3종일반주거,제1종근린생활,25m이상,19.79, ,"92,000",1,-,-,201712,30,,1987,-,-,-
20,서울특별시 영등포구 신길동,일반,2**,신길로52길,제2종일반주거,제1종근린생활,8m미만,89.39,46,"27,900",,-,-,201712,30,,1959,-,-,-
21,서울특별시 노원구 월계동,집합,4*,화랑로,제3종일반주거,제1종근린생활,25m이상,16.98, ,"118,000",1,-,-,201712,30,,1987,-,-,-
22,서울특별시 강북구 미아동,집합,7**,솔샘로,제2종일반주거,제2종근린생활,8m미만,26.22, ,"8,700",1,-,-,201712,30,,2014,-,-,-
23,서울특별시 중랑구 중화동,집합,4**,동일로,제3종일반주거,제2종근린생활,25m이상,15.6, ,"3,021",,-,-,201712,30,,1997,-,-,-
24,서울특별시 양천구 목동,집합,9**,목동서로,일반상업,제2종근린생활,25m이상,97.78, ,"87,000",3,-,-,201712,30,,1998,-,-,-
25,서울특별시 관악구 신림동,일반,7**,난곡로35길,제2종일반주거,기타,8m미만,118.94,261,"59,900",,-,-,201712,30,,1976,-,-,-
26,서울특별시 영등포구 영등포동5가,집합,1*,영등포로,준주거,판매,-,97.13, ,"25,000",,-,-,201712,30,,1971,-,-,-
27,서울특별시 강남구 대치동,집합,9**,선릉로,준주거,제2종근린생활,25m이상,77.22, ,"67,000",,-,-,201712,30,,1978,-,-,-
28,서울특별시 강남구 신사동,일반,5**,논현로151길,제2종일반주거,제2종근린생활,25m미만,364.37,159.4,"372,000",,-,-,201712,30,,1997,-,-,-
29,서울특별시 강남구 대치동,집합,3**,삼성로,제3종일반주거,제2종근린생활,25m이상,67.57, ,"95,000",,-,-,201712,30,,1979,-,-,-
30,서울특별시 송파구 방이동,일반,4*,오금로11길,일반상업,숙박,8m미만,1404,424.5,"930,000",,-,-,201712,30,,1988,-,-,-
31,서울특별시 송파구 잠실동,집합,4*,올림픽로,일반상업,판매,25m이상,35.47, ,"30,000",,-,-,201712,30,,2005,-,-,-
32,서울특별시 강남구 대치동,집합,1***,삼성로,제3종일반주거,제2종근린생활,25m이상,11.02, ,"8,270",,-,-,201712,29,,1983,-,-,-
33,서울특별시 강남구 청담동,집합,1**,도산대로85길,제2종일반주거,판매,8m미만,59.88, ,"35,500",2,-,-,201712,29,,2013,-,-,-
34,서울특별시 강남구 일원동,집합,7**,광평로19길,제3종일반주거,제2종근린생활,25m이상,12.87, ,"5,000",,-,-,201712,29,,1993,-,-,-
35,서울특별시 강남구 일원동,집합,7**,광평로19길,제3종일반주거,제1종근린생활,25m이상,12.87, ,"5,000",,-,-,201712,29,,1993,-,-,-
36,서울특별시 강남구 대치동,집합,9**,역삼로,제2종일반주거,업무,25m미만,2835.98, ,"34,200",,-,-,201712,29,지분,,-,-,-
37,서울특별시 강남구 대치동,집합,6**,남부순환로,제3종일반주거,제2종근린생활,25m이상,35.51, ,"39,000",,-,-,201712,29,,1981,-,-,-
38,서울특별시 강남구 대치동,집합,9**,선릉로,준주거,제2종근린생활,25m이상,153.06, ,"133,000",,-,-,201712,29,,1978,-,-,-
39,서울특별시 강남구 대치동,집합,1***,삼성로,제3종일반주거,제2종근린생활,25m이상,10.92, ,"8,200",,-,-,201712,29,,1983,-,-,-
40,서울특별시 중랑구 중화동,집합,4**,동일로,제3종일반주거,제2종근린생활,25m이상,8.25, ,"1,570",,-,-,201712,29,,1997,-,-,-
41,서울특별시 광진구 화양동,집합,1**,능동로19길,일반상업,제2종근린생활,12m미만,89.64, ,"103,500",,-,-,201712,29,,2014,-,-,-
42,서울특별시 노원구 공릉동,집합,7**,화랑로,제3종일반주거,제2종근린생활,25m이상,17.5, ,"14,700",1,-,-,201712,29,,1995,-,-,-
43,서울특별시 구로구 온수동,일반,4*,경인로,제2종일반주거,제2종근린생활,25m이상,290.4,1058,"425,000",,-,-,201712,29,,2006,-,-,-
44,서울특별시 서대문구 홍은동,집합,2**,연희로41길,제3종일반주거,제1종근린생활,25m이상,13.16, ,"7,780",,-,-,201712,29,지분,,-,-,-
45,서울특별시 중구 신당동,집합,2**,마장로1길,일반상업,판매,25m미만,4.76, ,"9,000",,-,-,201712,29,,1990,-,-,-
46,서울특별시 중구 신당동,집합,1**,마장로,일반상업,판매,25m미만,3.88, ,"33,000",,-,-,201712,29,,1999,-,-,-
47,서울특별시 중구 을지로2가,일반,1**,을지로,중심상업,업무,25m이상,74834.44,11282.7,"89,323,969",,-,-,201712,29,,1981,-,-,-
48,서울특별시 금천구 독산동,집합,1***,범안로12길,준공업,제2종근린생활,8m미만,144.22, ,"21,000",2,-,-,201712,29,,2012,-,-,-
49,서울특별시 금천구 독산동,집합,1***,범안로12길,준공업,제2종근린생활,8m미만,144.22, ,"19,016",3,-,-,201712,29,,2012,-,-,-
50,서울특별시 금천구 독산동,집합,1***,범안로12길,준공업,제2종근린생활,8m미만,144.22, ,"36,000",2,-,-,201712,29,,2012,-,-,-
51,서울특별시 관악구 봉천동,집합,1***,성현로,제3종일반주거,제1종근린생활,25m미만,24.5, ,"30,000",5,-,-,201712,29,,2003,-,-,-
52,서울특별시 서초구 반포동,집합,6*,서초중앙로29길,제3종일반주거,제2종근린생활,12m미만,11.2, ,"29,000",,-,-,201712,29,,1987,-,-,-
53,서울특별시 중구 신당동,집합,7**,마장로,일반상업,판매,25m이상,3.9, ,"4,954",,-,-,201712,29,,2010,-,-,-
54,서울특별시 용산구 청파동1가,집합,*,청파로71가길,제1종일반주거,제1종근린생활,8m미만,21, ,"12,500",1,-,-,201712,29,,2008,-,-,-
55,서울특별시 노원구 중계동,집합,3**,한글비석로,준주거,교육연구,25m이상,14.36, ,"4,750",,-,-,201712,29,,1996,-,-,-
56,서울특별시 금천구 독산동,집합,1***,범안로12길,준공업,제2종근린생활,8m미만,144.22, ,"36,000",3,-,-,201712,29,,2012,-,-,-
57,서울특별시 양천구 신정동,집합,3**,목동동로,제3종일반주거,판매,25m이상,19.53, ,"35,000",1,-,-,201712,29,,1987,-,-,-
58,서울특별시 중구 다동,집합,9*,,일반상업,제2종근린생활,25m미만,42.39, ,"72,000",1,-,-,201712,29,,1986,-,-,-
59,서울특별시 서대문구 창천동,집합,2*,신촌로,일반상업,업무,25m이상,28.49, ,"14,000",10,-,-,201712,29,,2000,-,-,-
60,서울특별시 강북구 번동,집합,4**,도봉로,일반상업,제2종근린생활,25m이상,48.88, ,"10,500",,-,-,201712,29,,1991,-,-,-
61,서울특별시 마포구 서교동,집합,4**,홍익로,제3종일반주거,제2종근린생활,25m미만,22.7, ,"51,000",,-,-,201712,29,,2004,-,-,-
62,서울특별시 마포구 합정동,집합,4**,월드컵로1길,준주거,판매,25m이상,74.36, ,"153,800",,-,-,201712,29,,2015,-,-,-
63,서울특별시 강서구 화곡동,일반,7*,화곡로,일반상업,숙박,8m미만,980.74,311,"199,000",,-,-,201712,29,,1989,-,-,-
64,서울특별시 구로구 구로동,집합,1**,디지털로29길,준공업,제2종근린생활,12m미만,122.4, ,"48,000",8,-,-,201712,29,,2001,-,-,-
65,서울특별시 마포구 합정동,집합,4**,월드컵로1길,준주거,판매,25m이상,62.8, ,"130,100",,-,-,201712,29,,2015,-,-,-
66,서울특별시 노원구 중계동,집합,5**,공릉로,제2종일반주거,기타,25m미만,84.75, ,"50,000",10,-,-,201712,29,,2008,-,-,-
67,서울특별시 종로구 명륜3가,일반,*,명륜3길,제1종일반주거,제1종근린생활,8m미만,239.46,170.2,"98,550",,-,-,201712,29,,1993,-,-,-
68,서울특별시 노원구 중계동,집합,3**,한글비석로,준주거,교육연구,25m이상,14.36, ,"4,750",,-,-,201712,29,,1996,-,-,-
69,서울특별시 마포구 서교동,일반,3**,와우산로29길,제2종일반주거,제2종근린생활,25m미만,337.47,128.9,"500,000",,-,-,201712,29,,1992,-,-,-
70,서울특별시 중구 신당동,집합,2**,청계천로,일반상업,판매,25m미만,12, ,"29,000",,-,-,201712,29,,1969,-,-,-
71,서울특별시 중랑구 신내동,집합,6**,신내로17길,제2종일반주거,제2종근린생활,25m미만,26.91, ,"16,000",2,-,-,201712,29,,1996,-,-,-
72,서울특별시 은평구 녹번동,집합,9*,은평로21길,제2종일반주거,기타,8m미만,67.47, ,"56,500",5,-,-,201712,29,,2006,-,-,-
73,서울특별시 중랑구 신내동,집합,6**,신내로17길,제2종일반주거,제2종근린생활,25m미만,13.46, ,"2,300",,-,-,201712,29,,1996,-,-,-
74,서울특별시 서초구 서초동,집합,1***,강남대로53길,일반상업,제1종근린생활,12m미만,57.18, ,"30,963",2,-,-,201712,29,,2002,-,-,-
75,서울특별시 성북구 하월곡동,일반,8*,동소문로,일반상업,제1종근린생활,8m미만,282.96,54.87,"10,000",,-,-,201712,29,지분,1993,-,-,-
76,서울특별시 성북구 하월곡동,일반,8*,동소문로,일반상업,제1종근린생활,8m미만,282.96,54.87,"10,000",,-,-,201712,29,지분,1993,-,-,-
77,서울특별시 중구 신당동,집합,2**,청계천로,일반상업,판매,25m이상,6, ,"35,500",,-,-,201712,29,,1983,-,-,-
78,서울특별시 동작구 상도동,일반,3**,성대로1길,제3종일반주거,제2종근린생활,12m미만,574.84,35.23,"16,570",,-,-,201712,29,지분,1985,-,-,-
79,서울특별시 양천구 신월동,집합,5**,남부순환로,준주거,제1종근린생활,25m이상,36.79, ,"11,000",1,-,-,201712,29,,2002,-,-,-
80,서울특별시 중구 신당동,집합,2**,마장로1가길,일반상업,제1종근린생활,12m미만,4, ,"23,000",,-,-,201712,29,,1955,-,-,-
81,서울특별시 구로구 구로동,집합,1***,경인로53길,준공업,판매,25m이상,18.87, ,"29,000",31,-,-,201712,29,,1996,-,-,-
82,서울특별시 중구 을지로6가,집합,2*,을지로,일반상업,판매,25m이상,3.97, ,"13,400",,-,-,201712,29,,2007,-,-,-
83,서울특별시 영등포구 양평동6가,집합,2*,양평로28사길,제2종일반주거,제1종근린생활,12m미만,22.57, ,"10,550",2,-,-,201712,29,,2015,-,-,-
84,서울특별시 마포구 서교동,집합,4**,홍익로,제3종일반주거,제2종근린생활,25m미만,29.41, ,"53,500",,-,-,201712,29,,2004,-,-,-
85,서울특별시 은평구 신사동,일반,1**,은평터널로,제2종일반주거,제1종근린생활,25m미만,665.39,28.04,"12,900",,-,-,201712,29,지분,1989,-,-,-
86,서울특별시 중랑구 중화동,집합,4**,동일로,제3종일반주거,제2종근린생활,25m이상,15.21, ,"1,150",,-,-,201712,29,,1997,-,-,-
87,서울특별시 구로구 구로동,집합,1***,경인로53길,준공업,판매,25m이상,18.85, ,"10,000",,-,-,201712,29,,1996,-,-,-
88,서울특별시 중구 신당동,집합,2**,마장로1길,일반상업,판매,25m미만,6.66, ,"10,000",,-,-,201712,29,,1996,-,-,-
89,서울특별시 관악구 신림동,집합,5**,조원로16길,제2종일반주거,판매,8m미만,22.98, ,"7,300",,-,-,201712,29,,1978,-,-,-
90,서울특별시 노원구 월계동,집합,7**,초안산로5길,준주거,판매,25m이상,100.8, ,"36,000",2,-,-,201712,29,,2007,-,-,-
91,서울특별시 중구 신당동,집합,7**,마장로,일반상업,판매,25m이상,4.61, ,"10,004",,-,-,201712,29,,2010,-,-,-
92,서울특별시 중구 서소문동,일반,5*,서소문로,제3종일반주거,업무,25m이상,15755.04,2031.4,"5,300,000",,-,-,201712,29,,1996,-,-,-
93,서울특별시 강남구 역삼동,집합,8**,테헤란로4길,일반상업,제2종근린생활,12m미만,9.72, ,"12,000",1,-,-,201712,29,,2002,-,-,-
94,서울특별시 마포구 상수동,일반,9*,와우산로13길,제2종일반주거,제2종근린생활,8m미만,830.74,447,"620,000",,-,-,201712,29,,2002,-,-,-
95,서울특별시 강서구 화곡동,집합,4**,초록마을로32길,제2종일반주거,제2종근린생활,8m미만,43, ,"15,000",1,-,-,201712,29,,2011,-,-,-
96,서울특별시 노원구 상계동,집합,1***,동일로,일반상업,판매,25m이상,40.28, ,"72,500",1,-,-,201712,29,,2005,-,-,-
