NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 종로구 종로6가,집합,2**,,일반상업,판매,25m이상,11.77, ,"32,000",,-,-,202312,31,,1973,-,직거래,-
2,서울특별시 구로구 오류동,집합,5*,경인로,일반상업,제1종근린생활,25m이상,258.66, ,"235,000",4,-,-,202312,31,,2022,-,직거래,-
3,서울특별시 강남구 논현동,일반,1*,도산대로8길,제2종일반주거,제2종근린생활,8m미만,833.19,241.6,"800,000",,-,-,202312,31,,2002,-,중개거래,서울 강남구
4,서울특별시 마포구 연남동,집합,2**,동교로52길,제2종일반주거,제2종근린생활,8m미만,19.44, ,"12,000",1,-,-,202312,31,,2004,-,중개거래,서울 마포구
5,서울특별시 금천구 시흥동,일반,9**,시흥대로,일반상업,제1종근린생활,25m이상,1311.71,201.85,"400,000",,-,-,202312,31,지분,1970,-,직거래,-
6,서울특별시 금천구 시흥동,일반,9**,시흥대로,일반상업,제1종근린생활,25m이상,1311.71,201.85,"400,000",,-,-,202312,31,지분,1970,-,직거래,-
7,서울특별시 중랑구 면목동,집합,3*,용마산로94길,제2종일반주거,제2종근린생활,8m미만,10.46, ,"10,000",,-,-,202312,31,,2020,-,직거래,-
8,서울특별시 도봉구 방학동,집합,6**,도당로,제2종일반주거,제2종근린생활,25m미만,177.08, ,"4,680",,-,-,202312,30,지분,1991,-,직거래,-
9,서울특별시 구로구 신도림동,집합,4**,신도림로,준공업,업무,25m이상,35.49, ,"14,500",7,-,-,202312,30,,2002,-,중개거래,서울 동작구
10,서울특별시 강남구 신사동,집합,5**,압구정로,제3종일반주거,제1종근린생활,25m이상,32.08, ,"90,000",1,-,-,202312,30,,2006,-,중개거래,경기 구리시 서울 강남구
11,서울특별시 은평구 갈현동,집합,4**,통일로85길,제2종일반주거,제1종근린생활,12m미만,55.79, ,"50,000",1,-,-,202312,30,,2022,-,중개거래,서울 은평구
12,서울특별시 마포구 노고산동,집합,1**,백범로,일반상업,업무,25m이상,10.41, ,"5,000",7,-,-,202312,30,,,-,중개거래,서울 마포구
13,서울특별시 도봉구 방학동,집합,6**,도당로,제2종일반주거,제2종근린생활,25m미만,177.08, ,"4,680",,-,-,202312,30,지분,1991,-,직거래,-
14,서울특별시 강남구 신사동,집합,5**,압구정로,제3종일반주거,제1종근린생활,25m이상,32.08, ,"90,000",1,-,-,202312,30,,2006,20240126,중개거래,경기 구리시 서울 강남구
15,서울특별시 서초구 잠원동,집합,6*,,제3종일반주거,제2종근린생활,25m이상,44.76, ,"44,000",,-,-,202312,30,지분,,-,중개거래,서울 서초구
16,서울특별시 금천구 가산동,집합,1**,남부순환로112길,제2종일반주거,제1종근린생활,12m미만,50.8, ,"21,000",1,-,-,202312,30,,2002,-,중개거래,서울 구로구
17,서울특별시 금천구 가산동,집합,1**,남부순환로112길,제2종일반주거,제2종근린생활,12m미만,53.81, ,"21,000",1,-,-,202312,30,,2002,-,중개거래,서울 구로구
18,서울특별시 금천구 가산동,집합,1**,남부순환로112길,제2종일반주거,제1종근린생활,12m미만,50.8, ,"21,000",1,-,-,202312,30,,2002,20240129,중개거래,서울 구로구
19,서울특별시 동대문구 장안동,집합,3**,장한로,일반상업,판매,25m이상,16.73, ,"5,000",,-,-,202312,29,,2002,-,중개거래,서울 동대문구
20,서울특별시 성동구 용답동,집합,2**,천호대로,일반상업,업무,25m이상,24.8, ,"26,300",2,-,-,202312,29,,2023,-,직거래,-
21,서울특별시 성동구 용답동,집합,2**,천호대로,일반상업,제1종근린생활,25m이상,15.68, ,"48,700",1,-,-,202312,29,,2023,-,직거래,-
22,서울특별시 성동구 용답동,집합,2**,천호대로,일반상업,업무,25m이상,24.8, ,"25,500",3,-,-,202312,29,,2023,-,직거래,-
23,서울특별시 성동구 용답동,집합,2**,천호대로,일반상업,업무,25m이상,38.75, ,"39,800",3,-,-,202312,29,,2023,-,직거래,-
24,서울특별시 성동구 용답동,집합,2**,천호대로,일반상업,업무,25m이상,29.53, ,"30,700",3,-,-,202312,29,,2023,-,직거래,-
25,서울특별시 도봉구 도봉동,집합,6**,도봉로180나길,준공업,제2종근린생활,12m미만,62.97, ,"25,500",3,-,-,202312,29,,2005,-,중개거래,서울 도봉구
26,서울특별시 구로구 궁동,집합,2**,,제2종일반주거,제2종근린생활,25m미만,22.38, ,"4,500",,-,-,202312,29,,2004,-,직거래,-
27,서울특별시 노원구 상계동,집합,7**,노해로,일반상업,업무,25m이상,346.81, ,"285,863",,-,-,202312,29,,1991,-,직거래,-
28,서울특별시 성동구 용답동,집합,2**,천호대로,일반상업,업무,25m이상,29.53, ,"30,700",3,-,-,202312,29,,2023,-,직거래,-
29,서울특별시 노원구 상계동,집합,7**,동일로215길,제3종일반주거,판매,25m미만,10.5, ,"9,540",,-,-,202312,29,,1987,-,직거래,-
30,서울특별시 동대문구 장안동,집합,3**,장한로,일반상업,판매,25m이상,17.96, ,"5,000",,-,-,202312,29,,2002,-,중개거래,서울 동대문구
31,서울특별시 노원구 상계동,집합,7**,노해로,일반상업,업무,25m이상,285.64, ,"238,752",,-,-,202312,29,,1991,-,직거래,-
32,서울특별시 동대문구 장안동,집합,3**,장한로,일반상업,판매,25m이상,16.73, ,"5,000",,-,-,202312,29,,2002,-,중개거래,서울 동대문구
33,서울특별시 송파구 잠실동,집합,2*,올림픽로,제3종일반주거,제1종근린생활,25m이상,86.59, ,"220,000",,-,-,202312,29,,2008,-,중개거래,서울 송파구
34,서울특별시 은평구 대조동,집합,1*,통일로,일반상업,제1종근린생활,25m이상,474.38, ,"2,900",,-,-,202312,29,지분,,-,직거래,-
35,서울특별시 중구 필동2가,일반,1*,퇴계로,제3종일반주거,제1종근린생활,8m미만,395.08,79.3,"100,000",,-,-,202312,29,지분,2005,-,직거래,-
36,서울특별시 송파구 방이동,집합,4*,오금로11길,일반상업,제1종근린생활,8m미만,17.16, ,"41,000",1,-,-,202312,29,,2018,-,중개거래,서울 송파구
