거래년도,거래분기,동,건물용도,건물면적당_평균거래가(만원/㎡)
2014,1Q,노고산동,아파트,712.9999851934748
2014,1Q,노고산동,연립다세대,734.9656593659978
2014,1Q,노고산동,오피스텔,590.9310446468911
2014,1Q,노량진동,단독다가구,816.4020183819583
2014,1Q,노량진동,아파트,492.53716460166555
2014,1Q,노량진동,연립다세대,411.5807580771161
2014,1Q,녹번동,단독다가구,322.3777694294189
2014,1Q,녹번동,아파트,461.44113021059866
2014,1Q,녹번동,연립다세대,303.4443794850607
2014,1Q,녹번동,오피스텔,402.465990482142
2014,1Q,논현동,단독다가구,713.7319617379187
2014,1Q,논현동,아파트,799.7902014653092
2014,1Q,논현동,연립다세대,614.0193913723497
2014,1Q,논현동,오피스텔,663.4886480818836
2014,1Q,누상동,단독다가구,882.2788001008319
2014,1Q,누상동,연립다세대,461.2681574636169
2014,1Q,누하동,단독다가구,970.6729159175378
2014,1Q,능동,단독다가구,271.29647456064214
2014,1Q,능동,아파트,354.16925562321364
2014,1Q,능동,연립다세대,507.63357739477283
2014,1Q,답십리동,단독다가구,299.443006466638
2014,1Q,답십리동,아파트,500.6395984027319
2014,1Q,답십리동,연립다세대,331.25508487980466
2014,1Q,답십리동,오피스텔,395.1899081843192
2014,1Q,당산동,아파트,593.6797956620906
2014,1Q,당산동,연립다세대,295.4047493360672
2014,1Q,당산동,오피스텔,261.9047619047619
2014,1Q,당산동1가,단독다가구,269.4885223969614
2014,1Q,당산동1가,아파트,555.342784832807
2014,1Q,당산동2가,아파트,513.4721413453467
2014,1Q,당산동2가,오피스텔,360.87685175509
2014,1Q,당산동3가,단독다가구,332.58540242305924
2014,1Q,당산동3가,아파트,562.7672503397008
2014,1Q,당산동3가,오피스텔,424.0754671595793
2014,1Q,당산동4가,아파트,560.6620189887818
2014,1Q,당산동4가,연립다세대,276.3671875
2014,1Q,당산동4가,오피스텔,476.270547184115
2014,1Q,당산동5가,아파트,610.4612130156152
2014,1Q,당산동5가,오피스텔,731.6227217693157
2014,1Q,당산동6가,단독다가구,364.7859922178988
2014,1Q,당산동6가,아파트,990.6184637972787
2014,1Q,당산동6가,오피스텔,711.5585774058577
2014,1Q,당인동,연립다세대,607.847584486278
2014,1Q,당주동,아파트,453.29055113712803
2014,1Q,대림동,단독다가구,306.1876339800528
2014,1Q,대림동,아파트,450.4161508856518
2014,1Q,대림동,연립다세대,510.8469211277604
2014,1Q,대림동,오피스텔,431.32050431320505
2014,1Q,대방동,단독다가구,363.33792409508357
2014,1Q,대방동,아파트,557.4612590201215
2014,1Q,대방동,연립다세대,505.0308267703714
2014,1Q,대방동,오피스텔,349.09090909090907
2014,1Q,대신동,단독다가구,174.40846462414976
2014,1Q,대조동,단독다가구,359.7599946795015
2014,1Q,대조동,아파트,520.4398467662962
2014,1Q,대조동,연립다세대,334.59821272255493
2014,1Q,대조동,오피스텔,369.07141419974175
2014,1Q,대치동,단독다가구,474.60068080649387
2014,1Q,대치동,아파트,1120.6298342860955
2014,1Q,대치동,연립다세대,569.9039333274926
2014,1Q,대치동,오피스텔,706.5007087881581
2014,1Q,대현동,아파트,493.074837289403
2014,1Q,대현동,오피스텔,764.4886529819479
2014,1Q,대흥동,단독다가구,734.0364807029854
2014,1Q,대흥동,아파트,654.7799725892918
2014,1Q,대흥동,오피스텔,708.8629740534361
2014,1Q,도곡동,아파트,985.8627711388591
2014,1Q,도곡동,연립다세대,594.9591459498763
2014,1Q,도곡동,오피스텔,859.427572468405
2014,1Q,도림동,단독다가구,281.9033321835565
2014,1Q,도림동,아파트,539.7851357660738
2014,1Q,도림동,연립다세대,361.44865109761827
2014,1Q,도림동,오피스텔,432.8117703526165
2014,1Q,도봉동,단독다가구,405.4725048870551
2014,1Q,도봉동,아파트,342.81831737202765
2014,1Q,도봉동,연립다세대,298.3649921593012
2014,1Q,도선동,단독다가구,346.8634129407799
2014,1Q,도선동,아파트,500.96738363313034
2014,1Q,도선동,연립다세대,478.10291444065945
2014,1Q,도선동,오피스텔,423.4049022872338
