,거래년도,시,구,동,평균공시지가,공시지가분산
98,2014,서울,마포구,마포동,2624623.0,1988895.0
99,2014,서울,마포구,망원동,2530328.0,1144186.0
100,2014,서울,마포구,상수동,3234453.0,1469155.0
101,2014,서울,마포구,상암동,1693339.0,1761213.0
102,2014,서울,마포구,서교동,4368744.0,2182246.0
103,2014,서울,마포구,성산동,2223433.0,1190135.0
104,2014,서울,마포구,신공덕동,2663742.0,1532822.0
105,2014,서울,마포구,신수동,2542060.0,1228524.0
106,2014,서울,마포구,신정동,1959846.0,1366293.0
107,2014,서울,마포구,아현동,3571323.0,1431717.0
108,2014,서울,마포구,연남동,2319303.0,830506.0
109,2014,서울,마포구,염리동,3291335.0,1579431.0
110,2014,서울,마포구,용강동,3774301.0,1528519.0
111,2014,서울,마포구,중동,1814153.0,927235.0
112,2014,서울,마포구,창전동,2644875.0,1608007.0
113,2014,서울,마포구,토정동,1997016.0,1178442.0
114,2014,서울,마포구,하중동,2557095.0,1780301.0
115,2014,서울,마포구,합정동,3169603.0,2204243.0
116,2014,서울,마포구,현석동,2689628.0,1234544.0
117,2014,서울,서대문구,남가좌동,2545478.0,922589.0
118,2014,서울,서대문구,냉천동,3994889.0,3057571.0
119,2014,서울,서대문구,대신동,2694353.0,806305.0
120,2014,서울,서대문구,대현동,9190651.0,6105748.0
121,2014,서울,서대문구,미근동,3845609.0,3074308.0
122,2014,서울,서대문구,봉원동,1385259.0,775459.0
123,2014,서울,서대문구,북가좌동,2637980.0,839746.0
124,2014,서울,서대문구,북아현동,2980133.0,1622677.0
125,2014,서울,서대문구,신촌동,1512434.0,979167.0
126,2014,서울,서대문구,연희동,1990228.0,862133.0
127,2014,서울,서대문구,영천동,3631923.0,2744750.0
128,2014,서울,서대문구,옥천동,2371519.0,1442686.0
129,2014,서울,서대문구,창천동,5160715.0,4930303.0
130,2014,서울,서대문구,천연동,2494163.0,1315596.0
131,2014,서울,서대문구,충정로2가,4054002.0,2928550.0
132,2014,서울,서대문구,충정로3가,3041685.0,1829554.0
133,2014,서울,서대문구,합동,3941012.0,2357109.0
134,2014,서울,서대문구,현저동,1026026.0,711972.0
135,2014,서울,서대문구,홍은동,1622276.0,839126.0
136,2014,서울,서대문구,홍제동,2208779.0,1489970.0
137,2014,서울,서초구,내곡동,641881.0,846388.0
138,2014,서울,서초구,반포동,5263626.0,3197020.0
139,2014,서울,서초구,방배동,4531358.0,2140185.0
140,2014,서울,서초구,서초동,7571089.0,6092517.0
141,2014,서울,서초구,신원동,1158558.0,1304257.0
142,2014,서울,서초구,양재동,4460632.0,2310815.0
143,2014,서울,서초구,염곡동,1224864.0,1490714.0
144,2014,서울,서초구,우면동,1366371.0,1540566.0
145,2014,서울,서초구,원지동,587669.0,870755.0
146,2014,서울,서초구,잠원동,5735489.0,3597866.0
147,2014,서울,성동구,금호동1가,2154756.0,1017388.0
148,2014,서울,성동구,금호동2가,2790694.0,860835.0
149,2014,서울,성동구,금호동3가,2813509.0,1580360.0
150,2014,서울,성동구,금호동4가,3182559.0,1677862.0
151,2014,서울,성동구,도선동,3937471.0,1936489.0
152,2014,서울,성동구,마장동,2518233.0,979667.0
153,2014,서울,성동구,사근동,1708827.0,733794.0
154,2014,서울,성동구,상왕십리동,3419638.0,681621.0
155,2014,서울,성동구,성수동1가,3063107.0,1597775.0
156,2014,서울,성동구,성수동2가,3360313.0,1258159.0
157,2014,서울,성동구,송정동,2229746.0,973226.0
158,2014,서울,성동구,옥수동,2436965.0,1046647.0
159,2014,서울,성동구,용답동,2625176.0,1104336.0
160,2014,서울,성동구,응봉동,1611295.0,901726.0
161,2014,서울,성동구,하왕십리동,2933178.0,1169973.0
162,2014,서울,성동구,행당동,2650406.0,1387604.0
163,2014,서울,성동구,홍익동,3331696.0,880991.0
164,2014,서울,성북구,길음동,2732836.0,1896384.0
165,2014,서울,성북구,돈암동,1663415.0,954287.0
166,2014,서울,성북구,동선동1가,5733670.0,3753914.0
167,2014,서울,성북구,동선동2가,2983794.0,1066623.0
168,2014,서울,성북구,동선동3가,2726941.0,881622.0
169,2014,서울,성북구,동선동4가,3175992.0,1873259.0
170,2014,서울,성북구,동선동5가,2638504.0,1210267.0
171,2014,서울,성북구,동소문동1가,3317795.0,2112741.0
172,2014,서울,성북구,동소문동2가,3552650.0,2002992.0
173,2014,서울,성북구,동소문동3가,4893266.0,2447506.0
174,2014,서울,성북구,동소문동4가,3112282.0,1938250.0
175,2014,서울,성북구,동소문동5가,4651964.0,2119593.0
176,2014,서울,성북구,동소문동6가,3193753.0,1932204.0
177,2014,서울,성북구,동소문동7가,2613060.0,1283271.0
178,2014,서울,성북구,보문동1가,2927207.0,1347511.0
179,2014,서울,성북구,보문동2가,3378123.0,1404663.0
180,2014,서울,성북구,보문동3가,2257755.0,472322.0
181,2014,서울,성북구,보문동4가,3441297.0,1323344.0
182,2014,서울,성북구,보문동5가,2869266.0,1126121.0
183,2014,서울,성북구,보문동6가,1969368.0,684102.0
184,2014,서울,성북구,보문동7가,3067218.0,1171703.0
185,2014,서울,성북구,삼선동1가,1962368.0,996554.0
186,2014,서울,성북구,삼선동2가,2535451.0,841261.0
187,2014,서울,성북구,삼선동3가,2440692.0,686540.0
188,2014,서울,성북구,삼선동4가,3105257.0,1051345.0
189,2014,서울,성북구,삼선동5가,3041294.0,979599.0
190,2014,서울,성북구,상월곡동,1963188.0,907964.0
191,2014,서울,성북구,석관동,1919170.0,845387.0
