구,거래년도,거래분기,APT매매
강서구,2021,4Q,98.815915
강서구,2022,1Q,100.14194806333334
강서구,2022,2Q,100.59514229733333
강서구,2022,3Q,100.3881031481
강서구,2022,4Q,98.32852202176667
강서구,2023,1Q,93.48330813443333
강서구,2023,2Q,90.74092191876666
강서구,2023,3Q,89.51229360999999
강서구,2023,4Q,89.74229831000001
강서구,2024,1Q,89.42944295
강서구,2024,2Q,88.97061428666666
강서구,2024,3Q,88.99906258
관악구,2014,3Q,59.380371
관악구,2014,4Q,59.502146
관악구,2015,1Q,59.567183
관악구,2015,2Q,60.271046000000005
관악구,2015,3Q,61.31737833333333
관악구,2015,4Q,62.19796133333333
관악구,2016,1Q,62.64835933333333
관악구,2016,2Q,63.00741566666667
관악구,2016,3Q,63.826849333333335
관악구,2016,4Q,64.56599133333333
관악구,2017,1Q,64.75043166666667
관악구,2017,2Q,65.01196366666666
관악구,2017,3Q,66.44055166666668
관악구,2017,4Q,67.20749133333334
관악구,2018,1Q,68.00202866666666
관악구,2018,2Q,69.29460466666667
관악구,2018,3Q,72.34401966666667
관악구,2018,4Q,76.338645
관악구,2019,1Q,76.45228833333333
관악구,2019,2Q,76.25320166666667
관악구,2019,3Q,76.40512666666666
관악구,2019,4Q,77.37108266666667
관악구,2020,1Q,79.29659633333334
관악구,2020,2Q,80.53216
관악구,2020,3Q,83.52873100000001
관악구,2020,4Q,86.46374866666667
관악구,2021,1Q,90.25380333333334
관악구,2021,2Q,92.77377366666667
관악구,2021,3Q,96.41168599999999
관악구,2021,4Q,99.608671
관악구,2022,1Q,100.01811823333333
관악구,2022,2Q,100.32644571546666
관악구,2022,3Q,100.3240390147
관악구,2022,4Q,98.16275139973334
관악구,2023,1Q,93.93965547496667
관악구,2023,2Q,91.1930418787
관악구,2023,3Q,89.75381607333334
관악구,2023,4Q,89.09013773
관악구,2024,1Q,88.26428294333334
관악구,2024,2Q,87.90362061666667
관악구,2024,3Q,88.499812945
광진구,2014,3Q,58.4261305
광진구,2014,4Q,58.733777
광진구,2015,1Q,58.91406066666667
광진구,2015,2Q,59.408358
광진구,2015,3Q,60.212678333333336
광진구,2015,4Q,60.73633266666667
광진구,2016,1Q,61.14489799999999
광진구,2016,2Q,61.438085666666666
광진구,2016,3Q,62.16417733333333
광진구,2016,4Q,62.84859766666667
광진구,2017,1Q,63.033621000000004
광진구,2017,2Q,63.47445333333334
광진구,2017,3Q,65.203189
광진구,2017,4Q,67.083581
광진구,2018,1Q,70.04836466666666
광진구,2018,2Q,71.88242733333334
광진구,2018,3Q,73.03674133333334
광진구,2018,4Q,75.84059833333333
광진구,2019,1Q,75.91932066666666
광진구,2019,2Q,75.73241466666667
광진구,2019,3Q,76.427913
광진구,2019,4Q,78.37015533333333
광진구,2020,1Q,80.60328833333334
광진구,2020,2Q,82.35514833333333
광진구,2020,3Q,85.83720133333334
광진구,2020,4Q,88.80891166666667
광진구,2021,1Q,91.35610233333334
광진구,2021,2Q,92.85292766666667
광진구,2021,3Q,96.48147566666667
광진구,2021,4Q,99.18975533333332
광진구,2022,1Q,100.10639442333333
광진구,2022,2Q,100.94984663983332
광진구,2022,3Q,101.46931773036665
광진구,2022,4Q,100.30664795046668
광진구,2023,1Q,96.79676102360001
광진구,2023,2Q,93.9988067172
광진구,2023,3Q,93.49806496333333
광진구,2023,4Q,94.06873642333333
광진구,2024,1Q,94.04206089
광진구,2024,2Q,93.92543836666668
광진구,2024,3Q,95.49116424
구로구,2014,3Q,53.618459
구로구,2014,4Q,53.768979333333334
구로구,2015,1Q,53.86987833333333
구로구,2015,2Q,54.745501
구로구,2015,3Q,55.824226333333336
구로구,2015,4Q,56.855275000000006
구로구,2016,1Q,57.24516666666667
구로구,2016,2Q,57.48889
구로구,2016,3Q,57.98677933333334
구로구,2016,4Q,58.88358766666667
구로구,2017,1Q,59.272169
구로구,2017,2Q,59.637787333333335
구로구,2017,3Q,60.868339666666664
구로구,2017,4Q,61.526086666666664
구로구,2018,1Q,62.09994633333334
구로구,2018,2Q,63.02564733333333
구로구,2018,3Q,65.68860233333334
구로구,2018,4Q,69.87082333333333
구로구,2019,1Q,70.12865799999999
구로구,2019,2Q,70.07835766666666
구로구,2019,3Q,70.291871
구로구,2019,4Q,71.47320433333333
구로구,2020,1Q,73.56312533333333
